log_name;drift_or_noise_id;drift_attribute;drift_sub_attribute;value
log_1_1774272973.xes;drift_1;log_id;na;log_1_1774272973.xes
log_1_1774272973.xes;drift_1;drift_id;na;1
log_1_1774272973.xes;drift_1;process_perspective;na;control-flow
log_1_1774272973.xes;drift_1;drift_type;na;incremental
log_1_1774272973.xes;drift_1;process_trees_1;0;->( *( X( X( ->( *( 'a', X( 'h', ->( *( 'j', 'k' ), 'l' ) ) ), 'i' ), ->( ->( 'e', 'g' ), 'f' ) ), 'd' ), 'b' ), 'c' )
log_1_1774272973.xes;drift_1;process_trees_2;1;->( *( X( X( ->( *( 'a', X( 'h', ->( *( *tau*, 'k' ), 'l' ) ) ), 'i' ), ->( ->( 'e', 'g' ), 'f' ) ), 'd' ), 'b' ), 'c' )
log_1_1774272973.xes;drift_1;process_trees_3;2;->( *( X( X( ->( *( 'a', X( 'h', ->( *( *tau*, 'k' ), 'l' ) ) ), 'i' ), ->( ->( 'e', *tau* ), 'f' ) ), 'd' ), 'b' ), 'c' )
log_1_1774272973.xes;drift_1;process_trees_4;3;->( *( X( X( ->( *( 'a', X( 'h', ->( *( *tau*, 'k' ), 'l' ) ) ), 'i' ), ->( ->( 'e', *tau* ), 'f' ) ), 'd' ), 'b', 'Random activity 1' ), 'c' )
log_1_1774272973.xes;drift_1;process_trees_5;4;->( *( X( X( ->( *( 'a', X( 'h', ->( *( *tau*, 'k' ), 'l' ) ) ), 'i' ), ->( ->( 'e', *tau* ), 'f' ) ), *tau* ), 'b', 'Random activity 1' ), 'c' )
log_1_1774272973.xes;drift_1;process_trees_6;5;->( *( X( X( ->( *( 'a', X( 'h', ->( *( *tau*, 'k' ), 'l' ) ) ), 'i', 'Random activity 2' ), ->( ->( 'e', *tau* ), 'f' ) ), *tau* ), 'b', 'Random activity 1' ), 'c' )
log_1_1774272973.xes;drift_1;change_info_1;change_type;incremental
log_1_1774272973.xes;drift_1;change_info_1;change_trace_index;[1001, 1459]
log_1_1774272973.xes;drift_1;change_info_1;process_tree_before;->( *( X( X( ->( *( 'a', X( 'h', ->( *( 'j', 'k' ), 'l' ) ) ), 'i' ), ->( ->( 'e', 'g' ), 'f' ) ), 'd' ), 'b' ), 'c' )
log_1_1774272973.xes;drift_1;change_info_1;process_tree_after;->( *( X( X( ->( *( 'a', X( 'h', ->( *( *tau*, 'k' ), 'l' ) ) ), 'i' ), ->( ->( 'e', 'g' ), 'f' ) ), 'd' ), 'b' ), 'c' )
log_1_1774272973.xes;drift_1;change_info_1;activities_deleted;[j]
log_1_1774272973.xes;drift_1;change_info_1;activities_added;[]
log_1_1774272973.xes;drift_1;change_info_1;activities_moved;[]
